relation,postag1,postag2,entity1,entity2,reverse,prediction
RESULT,NN,NN,resource-frugal approach,agreement,FALSE,USAGE
USAGE,NN,NNS,polynomial time solution,hard problems,FALSE,USAGE
MODEL-FEATURE,NN,NN,parse,sentence,FALSE,PART_WHOLE
MODEL-FEATURE,NN,NNS,verbs,SCFs distributions,TRUE,MODEL-FEATURE
MODEL-FEATURE,NNS,NNS,grammars,Source and Target languages,FALSE,PART_WHOLE
MODEL-FEATURE,NN,NNS,representation scheme,utterances,FALSE,MODEL-FEATURE
MODEL-FEATURE,NN,NNS,significance,words,FALSE,MODEL-FEATURE
RESULT,NN,NNP,model,macro-average F1,FALSE,RESULT
USAGE,NNS,NN,reference sets,MT evaluation,FALSE,PART_WHOLE
PART_WHOLE,NNS,NN,Words,Chinese text,FALSE,PART_WHOLE
USAGE,NN,NN,model of grammatical processing,uniform processing,TRUE,USAGE
USAGE,NNP,JJ,BLEU,word n-grams,FALSE,COMPARE
USAGE,NN,NNS,graphic interpretation system,communicative signals,TRUE,USAGE
PART_WHOLE,NN,NN,transliteration,corpus,FALSE,USAGE
USAGE,NN,NN,query optimisation,relational database,FALSE,USAGE
PART_WHOLE,NN,NN,system,decision-tree classifier,TRUE,USAGE
MODEL-FEATURE,NN,NN,intelligibility,MT output,FALSE,USAGE
RESULT,NN,NN,precision,grammar,TRUE,PART_WHOLE
USAGE,NNP,NN,BLEU,character,FALSE,COMPARE
USAGE,NNS,NN,scenario templates,text browser,FALSE,PART_WHOLE
MODEL-FEATURE,NNS,NNS,phrases,trees,FALSE,PART_WHOLE
USAGE,NN,NNS,language model,answers,FALSE,MODEL-FEATURE
COMPARE,NN,NNS,statistical method,taggers,FALSE,USAGE
PART_WHOLE,NNS,JJ,spatial descriptions,Japanese,FALSE,COMPARE
MODEL-FEATURE,NN,NN,underspecified semantic representation,scope ambiguity,FALSE,USAGE
PART_WHOLE,NNS,NN,wordbreaks,Chinese text corpora,FALSE,PART_WHOLE
PART_WHOLE,NNS,NN,stems,unsegmented corpus,FALSE,PART_WHOLE
PART_WHOLE,NN,NNS,management of uncertainty,expert systems,FALSE,USAGE
MODEL-FEATURE,NNS,NNS,co-occurrence similarities,terms,FALSE,MODEL-FEATURE
COMPARE,NN,NN,parsing,generation,FALSE,USAGE
MODEL-FEATURE,NN,NNS,generative probabilistic model,parse trees,FALSE,USAGE
USAGE,NN,NNP,translation,English,FALSE,MODEL-FEATURE
MODEL-FEATURE,VBG,NNS,paraphrasing,sentences,FALSE,USAGE
COMPARE,NNP,NN,Temporal Expression Anchoror,baseline,FALSE,COMPARE
COMPARE,NNP,NNS,CRF,HMM and Max-ent models,FALSE,COMPARE
USAGE,NN,NNP,semantic analyzer,Conceptual Dependency Theory,TRUE,USAGE
PART_WHOLE,NNS,NNP,idiosyncrasies,Dutch,FALSE,USAGE
USAGE,NNS,NNS,word sense disambiguation (WSD) systems,domains,FALSE,MODEL-FEATURE
MODEL-FEATURE,NN,NN,compositionality,translation,FALSE,USAGE
USAGE,NNS,NNS,dictionary word sense definitions,phrasal patterns,TRUE,PART_WHOLE
RESULT,VBG,NN,phrase chunking,performance improvement,FALSE,USAGE
USAGE,NN,NN,maximum-entropy model,stochastic output selection,TRUE,USAGE
MODEL-FEATURE,NN,NNS,grs,frames,TRUE,MODEL-FEATURE
MODEL-FEATURE,NN,NN,source language,EUROPARL corpus,FALSE,USAGE
MODEL-FEATURE,NNS,NNS,morpho-syntactic and semantic characteristics,nominal constituents,FALSE,MODEL-FEATURE
TOPIC,NN,NNS,critical discussion,evaluation of Natural Language systems,FALSE,USAGE
MODEL-FEATURE,NNS,NN,candidate parses,sentence,FALSE,PART_WHOLE
USAGE,NN,NN,natural language system,ungrammatical input,FALSE,USAGE
COMPARE,NN,NN,pronominalization,superordinate substitution,FALSE,USAGE
COMPARE,NNS,NN,general domains,linguistic domain,FALSE,PART_WHOLE
MODEL-FEATURE,NNS,VBG,models,decision tree learning,TRUE,USAGE
PART_WHOLE,NN,NNP,VME bus,SUN4,FALSE,MODEL-FEATURE
USAGE,NNS,NN,predicting top-level boundaries,machine learning approach,TRUE,PART_WHOLE
MODEL-FEATURE,NNS,NNS,logical well-formedness conditions,trees,FALSE,MODEL-FEATURE
MODEL-FEATURE,NNS,NN,determiners,ambiguity,TRUE,USAGE
RESULT,NNS,NN,Combination methods,system performance,FALSE,PART_WHOLE
PART_WHOLE,NN,NN,user knowledge modeling architecture,ICICLE system,FALSE,USAGE
USAGE,NNS,NN,discovering parallel sentences,"""comparable"," non-parallel corpora""",FALSE,PART_WHOLE
USAGE,NNP,NN,Mimo,translation,FALSE,COMPARE
MODEL-FEATURE,NN,NN,statistical information,dialogue corpora,FALSE,USAGE
USAGE,NN,NN,robust generator,knowledge,TRUE,USAGE
RESULT,NN,NNS,memory-based learning chunker,chunking results,FALSE,USAGE
RESULT,NN,NNS,performance,MBR decoders,FALSE,USAGE
USAGE,NN,NNS,spoken language technology,military and civilian systems,FALSE,USAGE
PART_WHOLE,NN,NNS,Machine transliteration/back-transliteration,multilingual speech and language applications,FALSE,USAGE
MODEL-FEATURE,NN,NNS,dependency structure,sentences,FALSE,MODEL-FEATURE
MODEL-FEATURE,NNS,NN,expletive occurrences,pronoun,FALSE,MODEL-FEATURE
MODEL-FEATURE,NNS,NN,purposes,intentional structure,TRUE,PART_WHOLE
MODEL-FEATURE,NNP,NN,Tree Adjoining Grammars,extended domain of locality,FALSE,COMPARE
USAGE,NNS,VBG,candidates,understanding,FALSE,USAGE
USAGE,NN,NNS,maximum entropy word alignment algorithm,supervised training data,TRUE,USAGE
USAGE,NN,NN,algorithm,lower bound estimation,FALSE,USAGE
PART_WHOLE,NN,NNS,word-sense ambiguity,machine-readable resources,FALSE,USAGE
PART_WHOLE,NN,NNS,corpus,question/answer pairs,TRUE,PART_WHOLE
USAGE,JJ,NNS,JAVELIN,questions,FALSE,MODEL-FEATURE
MODEL-FEATURE,NNS,NN,utterances,spontaneous speech,TRUE,PART_WHOLE
MODEL-FEATURE,NN,NNS,tree,crossing liaisons,TRUE,USAGE
COMPARE,NN,NNP,treebank,Penn WSJ,FALSE,USAGE
PART_WHOLE,NNS,NN,word-to-word alignments,MT system,TRUE,USAGE
USAGE,NNS,NN,"""LSA-based"," cooccurrence-based and dictionary-based methods""",similarity,FALSE,PART_WHOLE
USAGE,NN,NNS,lexical affinity,sequential models,FALSE,USAGE
USAGE,VBZ,NNS,Topic signatures,Natural Language Processing (NLP) applications,FALSE,COMPARE
USAGE,NNP,NN,ILIMP,syntactic analysis system,FALSE,COMPARE
USAGE,NN,NN,parser,natural language interface,FALSE,USAGE
PART_WHOLE,NNS,NNS,paraphrases,automatic alignments,FALSE,MODEL-FEATURE
MODEL-FEATURE,VBZ,NN,blog posts,relevance,TRUE,PART_WHOLE
TOPIC,NNS,NN,cross-lingual comparisons,analysis,TRUE,PART_WHOLE
PART_WHOLE,NNS,NNS,live closed captions,unknown words,TRUE,USAGE
USAGE,NN,NN,parser,non-terminal symbol,TRUE,USAGE
PART_WHOLE,NN,NN,Dictionary construction,machine translation system,FALSE,USAGE
MODEL-FEATURE,NN,NN,ellipsis resolution,discourse copying algorithm,TRUE,USAGE
USAGE,NN,NN,Plume's approach to parsing,semantic caseframe instantiation,TRUE,USAGE
USAGE,NN,JJ,unlexicalized parser,German,FALSE,PART_WHOLE
MODEL-FEATURE,NN,NN,context,dialogue,FALSE,MODEL-FEATURE
USAGE,VBG,NN,Bayesian learning,speech recognition,FALSE,USAGE
MODEL-FEATURE,NNP,NN,KL-ONE,epistemological level,FALSE,COMPARE
USAGE,NN,NN,parsing,unification-based parsing,TRUE,USAGE
MODEL-FEATURE,NN,NN,model,world,FALSE,RESULT
MODEL-FEATURE,NN,NNS,equivalence,formalisms,FALSE,USAGE
USAGE,NN,NN,construction-specific approach,flexible parsing,FALSE,USAGE
PART_WHOLE,NNS,NN,quantified sentences,temporal connective,TRUE,PART_WHOLE
USAGE,NN,NNS,unsupervised learning approach,lexical and syntactic features,TRUE,USAGE
USAGE,NNS,NNS,knowledge-based generation systems,machine learning techniques,TRUE,PART_WHOLE
PART_WHOLE,NNS,NNS,personal names,Chinese newspapers,FALSE,MODEL-FEATURE
MODEL-FEATURE,NNS,NNS,dependency structures,Japanese patent claim sentences,FALSE,MODEL-FEATURE
MODEL-FEATURE,VBZ,NN,Polymorphemic stems,compositional interpretation,TRUE,PART_WHOLE
RESULT,NNS,NN,Syllogistic reasoning with dispositions,commonsense reasoning,FALSE,PART_WHOLE
MODEL-FEATURE,NNS,NN,methods,time exponential on the size of the grammar,TRUE,PART_WHOLE
USAGE,NN,NN,one-time look up method,Korean-to-English and a Japanese-to-English dictionary,TRUE,USAGE
USAGE,NN,NN,structural information,speech understanding,FALSE,USAGE
MODEL-FEATURE,NNS,NN,ambiguity representations,ambiguity,FALSE,USAGE
USAGE,NNP,NNS,TAG,lexicalized structures,FALSE,COMPARE
USAGE,NNS,NN,indicators,retrieval approach,FALSE,PART_WHOLE
MODEL-FEATURE,NN,NN,interpretation,meaning,FALSE,MODEL-FEATURE
USAGE,NNP,NN,TAGs,syntax proper,FALSE,COMPARE
USAGE,NN,NNS,practically unsupervised learning method,single-snippet answers,FALSE,USAGE
USAGE,NN,NN,corpus-based method,classifier assignment,FALSE,USAGE
USAGE,IN,NN,disambiguation algorithms,discourse constraint,TRUE,TOPIC
RESULT,NN,NNS,system,F-measures,FALSE,USAGE
USAGE,NN,NN,training material,algorithm,FALSE,USAGE
PART_WHOLE,NN,NN,knowledge,text,FALSE,MODEL-FEATURE
PART_WHOLE,NNS,NNP,nominal compounds,English,FALSE,PART_WHOLE
USAGE,NNS,NNS,dictionaries,Japanese character strings,FALSE,MODEL-FEATURE
USAGE,NNS,NNP,grammars,EDOL,TRUE,PART_WHOLE
PART_WHOLE,NNS,NNS,terms,content words,TRUE,PART_WHOLE
USAGE,NN,NNS,unsupervised learning algorithm,identification of paraphrases,FALSE,USAGE
RESULT,NNS,NN,classifiers,gain,FALSE,PART_WHOLE
USAGE,NNS,NNP,theories,Generalized Alignment,TRUE,PART_WHOLE
PART_WHOLE,NN,NN,verb,sentence,FALSE,PART_WHOLE
PART_WHOLE,JJ,NN,Graph unification,unification-based grammar parsing,FALSE,MODEL-FEATURE
PART_WHOLE,NNS,NNP,word senses,English,FALSE,MODEL-FEATURE
COMPARE,NNS,NNS,concept-distance measures,traditional distributional word-distance measures,FALSE,MODEL-FEATURE
USAGE,NN,NN,MT-based paraphrasing technique,QA system,FALSE,USAGE
MODEL-FEATURE,NNS,NN,generators,portability,TRUE,PART_WHOLE
USAGE,NNS,NN,cognitively well-motivated interfaces,display of graphical information,TRUE,PART_WHOLE
PART_WHOLE,NNS,NNP,collocations,Czech WordNet,FALSE,PART_WHOLE
TOPIC,VBZ,NNP,NL evaluations,Message Understanding Conferences,TRUE,PART_WHOLE
MODEL-FEATURE,NN,NN,ambiguity,natural language,FALSE,MODEL-FEATURE
MODEL-FEATURE,NN,NN,meaning,utterance,FALSE,MODEL-FEATURE
MODEL-FEATURE,NNS,NN,utterances,linguistic structure,TRUE,PART_WHOLE
PART_WHOLE,NN,NN,corpus,newspaper corpus,TRUE,PART_WHOLE
MODEL-FEATURE,NNS,NN,verb form meanings,habituality,TRUE,PART_WHOLE
USAGE,NNS,NN,specialized parsing techniques,construction,FALSE,PART_WHOLE
MODEL-FEATURE,NNS,NNS,topics,threads,FALSE,MODEL-FEATURE
USAGE,NNS,NNS,Log-linear models,statistical alignment models,FALSE,MODEL-FEATURE
USAGE,NNS,NNS,architectural modules,language functionalities,FALSE,MODEL-FEATURE
MODEL-FEATURE,NNS,NN,semantic verb classes,corpus data,FALSE,PART_WHOLE
PART_WHOLE,NNS,NNS,nodes,vectors representing morpho-syntactic properties,TRUE,PART_WHOLE
PART_WHOLE,NN,NN,Chinese language,verb,TRUE,PART_WHOLE
PART_WHOLE,NN,NNS,topic signature,words,TRUE,MODEL-FEATURE
USAGE,NN,JJ,syntax-based constraint,word alignment,FALSE,USAGE
TOPIC,NNS,NN,user interface styles or conventions,TIPSTER Architecture specification,TRUE,PART_WHOLE
MODEL-FEATURE,NN,NNS,output,segmentation standards,TRUE,USAGE
PART_WHOLE,NN,NN,test set,DARPA Resource Management corpus,FALSE,USAGE
RESULT,NN,NNS,referential information,machine translation outputs,FALSE,USAGE
USAGE,NN,NNS,deep processing,shallow techniques,TRUE,USAGE
RESULT,NN,VBG,accuracy,part of speech (pos) tagging,TRUE,USAGE
PART_WHOLE,NN,NN,dialogue acquisition and tracking algorithm,voice interactive system,FALSE,USAGE
MODEL-FEATURE,NNS,NNS,weights,lexical translations,FALSE,MODEL-FEATURE
COMPARE,NNS,NNS,statistics,speech data,FALSE,MODEL-FEATURE
USAGE,NNS,NN,lexicons,operational foreign language tutoring,FALSE,PART_WHOLE
USAGE,NN,NN,word clustering,automatic extraction,TRUE,USAGE
USAGE,NNS,NNS,error correction mechanisms,unseen data,FALSE,MODEL-FEATURE
USAGE,NN,NN,algorithm,discourse context,FALSE,USAGE
RESULT,NN,NN,processing,discourse,FALSE,PART_WHOLE
USAGE,VBG,NNS,indexing,character bigrams,TRUE,USAGE
MODEL-FEATURE,NNS,NNS,binary relations,objects,FALSE,USAGE
PART_WHOLE,NNS,NN,missing words,ellipsis,FALSE,MODEL-FEATURE
MODEL-FEATURE,NN,NN,sentence,meaning,TRUE,MODEL-FEATURE
RESULT,NNS,NNS,evaluation measures,word-dependent substitution costs,TRUE,PART_WHOLE
COMPARE,NNS,NN,single-strategy parsers,multi-strategy approach,FALSE,PART_WHOLE
USAGE,NNS,NNS,information extraction techniques,supervised training data,TRUE,PART_WHOLE
MODEL-FEATURE,NNS,NNS,NLP tasks,graph transformations,TRUE,PART_WHOLE
MODEL-FEATURE,JJ,NNP,hardness,NP,TRUE,MODEL-FEATURE
PART_WHOLE,NN,NNS,dialog manager,collection of dialog motivators,TRUE,USAGE
USAGE,NN,NN,priming,incremental probabilistic parser,FALSE,USAGE
COMPARE,NNS,NNS,interfaces,natural language interfaces,FALSE,MODEL-FEATURE
USAGE,NN,NN,hypotheses graph,shallow mapping,TRUE,USAGE
USAGE,NNS,NN,AI problem solving techniques,systemic grammar,FALSE,PART_WHOLE
USAGE,NNS,NN,statistical approaches,maximum likelihood method,TRUE,PART_WHOLE
COMPARE,NN,NN,speaker,listener,FALSE,USAGE
USAGE,NN,NNS,lexical hierarchy,linguistic concepts,FALSE,USAGE
PART_WHOLE,NN,NNS,database,TV shows,TRUE,USAGE
RESULT,NNP,NN,Plume,syntactic coverage,FALSE,COMPARE
USAGE,NNS,NN,field structured extraction tasks,prior knowledge,TRUE,PART_WHOLE
PART_WHOLE,NNS,NNP,demonstrative expressions,English,FALSE,PART_WHOLE
USAGE,NN,NN,model design,second language and cognitive skill acquisition,TRUE,USAGE
MODEL-FEATURE,NN,NN,mismatch resolution scheme,information flow,TRUE,USAGE
PART_WHOLE,NN,NN,Kullback-Leibler distance,cross-entropy,TRUE,USAGE
PART_WHOLE,NN,NN,sentence,well-written discourse,FALSE,PART_WHOLE
RESULT,NNS,NN,supervised and unsupervised methods,performance,FALSE,RESULT
USAGE,NNP,NNS,RAREAS,formatted weather data,FALSE,COMPARE
USAGE,NN,NN,phrase-based unigram model,statistical machine translation,FALSE,USAGE
USAGE,NNS,NNS,transliteration/backtransliteration experiments,English/Chinese and English/Japanese language pairs,FALSE,MODEL-FEATURE
RESULT,NN,NNP,suffix analysis,labelled bracket F-score,FALSE,MODEL-FEATURE
MODEL-FEATURE,NN,JJ,classifier word,noun,FALSE,MODEL-FEATURE
USAGE,NNS,NNS,automatic abstracting systems,training resources,TRUE,PART_WHOLE
COMPARE,NN,NNS,MWEs database,corpus data,FALSE,USAGE
PART_WHOLE,NNS,NNS,phrases,high-accuracy word-level alignment models,FALSE,PART_WHOLE
USAGE,NN,NN,decision tree based approach,pronoun resolution,FALSE,USAGE
MODEL-FEATURE,NN,NN,structure,information source,FALSE,USAGE
USAGE,NNS,NN,cooccurrence statistics,disambiguation tool,FALSE,PART_WHOLE
RESULT,NN,NN,domain-specific word alignment,relative error rate reduction,FALSE,USAGE
MODEL-FEATURE,NN,NN,focus of attention,attentional state,TRUE,USAGE
MODEL-FEATURE,NNP,NNS,English,corpus data,FALSE,COMPARE
MODEL-FEATURE,NN,NNS,derivation,syntactic and semantic dependencies,FALSE,USAGE
USAGE,NNP,NN,domain-independent means of evaluating Spoken Language Systems,software,TRUE,USAGE
MODEL-FEATURE,NN,NNP,corpus,Child Language Data Exchange System,TRUE,PART_WHOLE
RESULT,NN,NN,data representation choice,chunking performance,FALSE,USAGE
MODEL-FEATURE,NNS,NNP,circuit specifications,temporal logic CTL,TRUE,PART_WHOLE
USAGE,NN,NNP,range concatenation grammar [RCG] formalism,NLP,FALSE,MODEL-FEATURE
MODEL-FEATURE,JJ,NNP,summary,English,TRUE,MODEL-FEATURE
PART_WHOLE,NN,NN,translation knowledge,bilingual corpora,FALSE,USAGE
PART_WHOLE,NN,NNS,scfs,corpus data,FALSE,USAGE
USAGE,NNS,NN,parsing strategies,control structure,TRUE,USAGE
PART_WHOLE,NN,NNP,functional structure,LFG,FALSE,USAGE
MODEL-FEATURE,NN,NNS,predicative information,nominals,FALSE,USAGE
USAGE,NN,NN,grammar,linguistic introspection,TRUE,USAGE
COMPARE,NNS,NNS,unification-based grammatical frameworks,KL-ONE-like knowledge representation systems,FALSE,MODEL-FEATURE
USAGE,NNS,NN,machine learning techniques,comma checker,FALSE,PART_WHOLE
PART_WHOLE,NN,NN,mapping score,correlation measure,FALSE,USAGE
PART_WHOLE,NNS,NN,temporal expressions,newswire texts,FALSE,MODEL-FEATURE
MODEL-FEATURE,NN,NN,theory,content-independent formalism,TRUE,USAGE
USAGE,NN,NN,Systemic grammar,AI text generation,FALSE,USAGE
RESULT,JJ,NN,subcategorization dictionary,accuracy,FALSE,RESULT
USAGE,NN,NNS,morphological analyzer,"""recognition and classification of proper names", numerical and temporal expressions," i.e. Named Entity (NE) items""",FALSE,RESULT
USAGE,NNP,NN,RAREAS,linguistic and non-linguistic knowledge,TRUE,USAGE
PART_WHOLE,NNS,NN,referents,anaphora,FALSE,PART_WHOLE
MODEL-FEATURE,NN,NNS,linguistic expressiveness,formalisms,FALSE,USAGE
MODEL-FEATURE,NNS,NNS,frequency counts,word n-grams,FALSE,MODEL-FEATURE
USAGE,NN,NN,Natural Language Processing (NLP) system,new domain,TRUE,USAGE
USAGE,NN,NN,Bayesian semi-supervised Chinese word segmentation model,monolingual and bilingual information,TRUE,USAGE
USAGE,NNP,NN,MT,Chinese word segmenter,TRUE,USAGE
TOPIC,NN,NNS,formal analysis,alternative markers,FALSE,USAGE
RESULT,NN,NN,paraphrasing method,precision,FALSE,USAGE
COMPARE,NNS,NNS,WordNet-based measures,distributional concept-distance measures,FALSE,MODEL-FEATURE
MODEL-FEATURE,NNP,NN,continuous density HMM,Gaussian mixture,TRUE,USAGE
PART_WHOLE,NN,NNS,corpus,words,TRUE,PART_WHOLE
USAGE,NN,NNP,corpus-based approach,verb-noun collocation dictionary for Polish,FALSE,MODEL-FEATURE
USAGE,NN,NN,parser,large-vocabulary speech recognition,FALSE,USAGE
USAGE,NNS,NN,Dialogue strategies,user modeling,TRUE,PART_WHOLE
USAGE,NN,NN,logical model,formulas,FALSE,COMPARE
USAGE,NN,NNS,support vector machine,features,TRUE,USAGE
PART_WHOLE,NN,NN,translation lexicon,legal terminology,TRUE,USAGE
USAGE,NN,NNS,natural language interpretation,semantic domain models,TRUE,USAGE
USAGE,NN,NN,evaluation method,latent variable model,TRUE,USAGE
MODEL-FEATURE,NNS,NNS,inference types,certainty conditions,TRUE,PART_WHOLE
USAGE,NN,NN,database,tagging,FALSE,USAGE
MODEL-FEATURE,NNS,NN,sentences,context,FALSE,PART_WHOLE
MODEL-FEATURE,VBZ,NN,log(d) overheads,structure-sharing of graphs,FALSE,COMPARE
USAGE,NN,NNS,speech processing,finite-state models,TRUE,USAGE
USAGE,NN,NN,Minimum Bayes-Risk (MBR) decoding,statistical machine translation,FALSE,USAGE
PART_WHOLE,NN,NNP,syntactico-semantic (tectogrammatical) annotation,Prague Dependency Treebank,FALSE,MODEL-FEATURE
PART_WHOLE,NNS,NNS,sentences,quantification over events,TRUE,PART_WHOLE
COMPARE,NNS,NNS,models,preceding words,FALSE,MODEL-FEATURE
USAGE,NN,NNS,ensemble learning approach,German pronouns,FALSE,USAGE
MODEL-FEATURE,NNS,NNP,naming conventions,MeSH,FALSE,PART_WHOLE
USAGE,NN,NNS,extraction system,complex sentences,FALSE,USAGE
MODEL-FEATURE,NN,NNS,annotating scheme,honorifics,FALSE,USAGE
MODEL-FEATURE,NNS,NNS,biological entities,biomedical and linguistic ontologies,TRUE,PART_WHOLE
USAGE,NN,NNS,decision-tree approach,probabilities,FALSE,USAGE
MODEL-FEATURE,NN,JJ,Comparator software,domain-independent,TRUE,USAGE
PART_WHOLE,NNP,NNS,English,grammatical sentences,TRUE,USAGE
USAGE,NNS,NNP,procedures,Comparator,FALSE,PART_WHOLE
USAGE,NN,NNS,ECA,verbal and nonverbal grounding acts,TRUE,USAGE
USAGE,NN,NNS,unsupervised learning method,associative relationships between verb phrases,FALSE,USAGE
RESULT,NN,NN,CFG parser,BMM algorithm,FALSE,USAGE
COMPARE,NN,NN,rule-based learning algorithm,memory-based system,FALSE,USAGE
PART_WHOLE,NN,NN,Chinese text,corpora,FALSE,PART_WHOLE
USAGE,NN,NN,statistical machine translation,dynamic programming,TRUE,USAGE
COMPARE,NN,NN,Path-based inference,node-based inference,FALSE,USAGE
PART_WHOLE,NN,NN,texts,target corpus,FALSE,USAGE
RESULT,NN,NN,accuracy,classification method,TRUE,RESULT
PART_WHOLE,NN,NN,fuzzy quantifier,proposition,FALSE,MODEL-FEATURE
PART_WHOLE,NN,NN,punctuation,spoken corpora,FALSE,USAGE
MODEL-FEATURE,NNS,NNS,features,terms,FALSE,MODEL-FEATURE
COMPARE,NN,NN,Japanese sentence structure,English sentence structure,FALSE,USAGE
USAGE,NNS,NN,decision trees,probability estimation,FALSE,PART_WHOLE
PART_WHOLE,NN,NNS,repository,data objects,TRUE,USAGE
COMPARE,NNS,NNS,rhetorical patterns,patterns,FALSE,MODEL-FEATURE
MODEL-FEATURE,NN,NNS,decision tree,modification probabilities,FALSE,USAGE
COMPARE,NN,NN,system's output,benchmark system,FALSE,USAGE
MODEL-FEATURE,NNS,NN,paraphrases,context,TRUE,MODEL-FEATURE
PART_WHOLE,NN,NNP,large Czech MWE database,MWEs,TRUE,MODEL-FEATURE
MODEL-FEATURE,NNS,NNS,features,heuristic principles,FALSE,MODEL-FEATURE
USAGE,NNS,NNP,continuous speech recognition (CSR) techniques,Spoken Language Systems,FALSE,PART_WHOLE
MODEL-FEATURE,NN,JJ,raw text,French,TRUE,USAGE
USAGE,NN,NNS,question-focused sentence retrieval,news articles,FALSE,USAGE
MODEL-FEATURE,NN,NNS,inheritance,hierarchies,FALSE,USAGE
PART_WHOLE,NNS,NN,character types,word,FALSE,MODEL-FEATURE
MODEL-FEATURE,NNS,NNS,dependency relations,question phrases,FALSE,MODEL-FEATURE
USAGE,NN,NNS,editor,lexicologists,FALSE,USAGE
RESULT,NN,VBG,performance,coarse-level clustering,TRUE,USAGE
USAGE,VBZ,NN,topic signatures,WSD task,FALSE,COMPARE
MODEL-FEATURE,NN,NNS,polysemy,clusters,FALSE,USAGE
PART_WHOLE,NNS,NNS,words,constituent parts,TRUE,MODEL-FEATURE
USAGE,NNP,NN,KPSG,phonological system,FALSE,COMPARE
USAGE,NN,NN,model,error correction,FALSE,RESULT
MODEL-FEATURE,NN,NN,local structure,coherent text,FALSE,USAGE
MODEL-FEATURE,NNS,NN,coordinations,strictly syntactic cross-serial agreement,FALSE,PART_WHOLE
USAGE,NN,NN,parsing,Wall Street Journal treebank,FALSE,USAGE
USAGE,NN,NN,MBR decoding,statistical MT performance,FALSE,USAGE
MODEL-FEATURE,NNS,NNS,dependencies,arguments,FALSE,MODEL-FEATURE
RESULT,NN,NN,model,performance,FALSE,RESULT
USAGE,NN,NNS,word sense disambiguation,manually sense-tagged data,TRUE,USAGE
MODEL-FEATURE,NNS,NN,semantics,logical form language,TRUE,MODEL-FEATURE
MODEL-FEATURE,NNS,NN,paraphrases,contexts,TRUE,PART_WHOLE
MODEL-FEATURE,NN,NNS,meaning,tenses,FALSE,MODEL-FEATURE
USAGE,NN,NN,part-of-speech annotation,corpus,FALSE,USAGE
USAGE,NN,NN,case-based reasoning,machine translation,FALSE,USAGE
USAGE,NNS,NNS,priors,conditional loglinear models,FALSE,MODEL-FEATURE
USAGE,NN,NN,forward pass,word graph,TRUE,USAGE
USAGE,NN,NNS,log-linear combination,translation paths,FALSE,USAGE
MODEL-FEATURE,NNS,NNS,meanings,utterances,FALSE,MODEL-FEATURE
PART_WHOLE,NNS,NN,subtrees,representation tree,FALSE,MODEL-FEATURE
MODEL-FEATURE,NNS,NN,analyses,input word,FALSE,PART_WHOLE
MODEL-FEATURE,NNP,NN,KL-Conc,conceptual level,FALSE,COMPARE
MODEL-FEATURE,NN,NNS,part of speech information,words,FALSE,MODEL-FEATURE
PART_WHOLE,NN,NNS,corpus,words,TRUE,PART_WHOLE
MODEL-FEATURE,NN,NN,board,Intel i860 chip,TRUE,USAGE
TOPIC,NNS,NNP,computational semantic analyses,English,FALSE,PART_WHOLE
COMPARE,NNS,NNS,word-lemma based feature function models,token-based models,FALSE,MODEL-FEATURE
PART_WHOLE,NN,NN,sense resolution,text processing,FALSE,USAGE
PART_WHOLE,NNS,NN,functions,formal language,FALSE,PART_WHOLE
MODEL-FEATURE,NN,NNS,similarity,vectors,FALSE,MODEL-FEATURE
PART_WHOLE,NN,NN,story,corpus,FALSE,USAGE
USAGE,NN,NN,word sense disambiguation,parallel corpora,TRUE,RESULT
PART_WHOLE,NNS,NNS,words,song lyrics,FALSE,MODEL-FEATURE
USAGE,VBG,NN,smoothing,unlexicalized parser,FALSE,USAGE
MODEL-FEATURE,NNS,NNS,verbs,multiple complementation patterns,TRUE,MODEL-FEATURE
USAGE,NNS,NNS,decision strategies,speech data,TRUE,PART_WHOLE
USAGE,NN,NN,localized phrase-based prediction model,statistical machine translation,FALSE,USAGE
USAGE,NN,NN,programming language,logic,TRUE,USAGE
MODEL-FEATURE,NNS,NNS,verbs,argument structures,FALSE,MODEL-FEATURE
USAGE,NNS,NNS,semi-supervised methods,labeled data,TRUE,PART_WHOLE
RESULT,NN,NN,quality,accuracy,FALSE,RESULT
PART_WHOLE,NNS,NNS,phrases,unknown words,TRUE,PART_WHOLE
USAGE,NN,NNP,grammar checker,Basque,FALSE,MODEL-FEATURE
USAGE,NNS,NNS,well calibrated probabilities,sense priors,FALSE,MODEL-FEATURE
PART_WHOLE,NNP,NNS,Taiwan Child Language Corpus,scripts,TRUE,USAGE
USAGE,NN,JJ,parsing,Korean,FALSE,USAGE
USAGE,NNS,NNP,computational methods,KDS,FALSE,PART_WHOLE
MODEL-FEATURE,NNS,NNS,parse-trees,source and target language sentences,FALSE,MODEL-FEATURE
USAGE,NN,NNS,word alignment,log-linear models,TRUE,USAGE
USAGE,NN,NNS,discourse structure,discourse connectives,TRUE,USAGE
COMPARE,NNP,NNS,full NPs,referential elements,FALSE,COMPARE
MODEL-FEATURE,NN,NN,meaning,proposition,FALSE,MODEL-FEATURE
USAGE,NNS,NN,machine-readable dictionaries,broad coverage lexicon,FALSE,PART_WHOLE
COMPARE,NNS,NNS,dictionaries of word forms,words,FALSE,PART_WHOLE
PART_WHOLE,NN,NNP,morphological component,NLP-system for Dutch,FALSE,USAGE
